CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
10941;Area De Conservación Regional Humedales De Ventanilla;Callao;-11.87556141357486;-77.14753031730652;1.0;Cálido / Desértico (Costa);35;19
11434;Reserva Privada Aconabikh ;San Martín;-6.417444446547247;-76.31562759259033;725.0;Templado Cálido (Yunga);10;25
10859;Cascada Natural De Sirenachayuq;Cusco;-13.3512564;-71.9288253;3154.0;Templado Seco (Quechua);22;6
14007;Pinturas Rupestres De Chinac;La Libertad;-7.85041;-77.79117;3830.0;Frío (Suni);49;28
12855;Catarata Lágrimas De Doncella;La Libertad;-7.754473;-77.851513;2963.0;Templado Seco (Quechua);49;28
11201;Fundo Alto Nieva - Rioja;San Martín;-5.672588;-77.762641;1933.0;Templado Cálido (Yunga);-1;17
11437;Mirador El Mono Y La Gata;San Martín;-6.4602399;-76.3030322;779.0;Templado Cálido (Yunga);10;25
10866;Zona  Arqueológica Puma Orqo ;Cusco;-13.705888;-71.957528;3288.0;Templado Seco (Quechua);-1;23
10868;Sitio Arqueológico De Killarumiyoq;Cusco;-13.445174;-72.309884;3640.0;Frío (Suni);-1;23
10878;Fundo Pishcota;Ucayali;-8.535769;-74.772256;202.0;Tropical Húmedo (Selva);-1;19
11879;Pongo Santa Rosa De Chachi;Ucayali;-8.805245;-75.301275;231.0;Tropical Húmedo (Selva);60;26
